gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Contract,PaperlessBilling,PaymentMethod,MonthlyCharges,TotalCharges,Churn,Family,OnlineService,StreamingService,FullService,security,backup,protect,support,InsuranceServices
Female,0,Yes,No,1,No,0,DSL,1,2,1,1,1,1,0,Yes,Electronic check,29.85,2985.0,0,0,0,0,0,0,1,0,0,1
Male,0,No,No,34,Yes,1,DSL,2,1,2,1,1,1,1,No,Mailed check,56.95,188950.0,0,0,0,0,0,1,0,1,0,2
Male,0,No,No,2,Yes,1,DSL,2,2,1,1,1,1,0,Yes,Mailed check,53.85,10815.0,1,0,1,0,0,1,1,0,0,2
Male,0,No,No,45,No,0,DSL,2,1,2,2,1,1,1,No,Bank transfer,42.3,184075.0,0,0,0,0,0,1,0,1,1,3
Female,0,No,No,2,Yes,1,Fiber optic,1,1,1,1,1,1,0,Yes,Electronic check,70.7,15165.0,1,0,0,0,0,0,0,0,0,0
Female,0,No,No,8,Yes,2,Fiber optic,1,1,2,1,2,2,0,Yes,Electronic check,99.65,82050.0,1,0,0,1,0,0,0,1,0,1
Male,0,No,Yes,22,Yes,2,Fiber optic,1,2,1,1,2,1,0,Yes,Credit card,89.1,194940.0,0,0,0,0,0,0,1,0,0,1
Female,0,No,No,10,No,0,DSL,2,1,1,1,1,1,0,No,Mailed check,29.75,30190.0,0,0,0,0,0,1,0,0,0,1
Female,0,Yes,No,28,Yes,2,Fiber optic,1,1,2,2,2,2,0,Yes,Electronic check,104.8,304605.0,1,0,0,1,0,0,0,1,1,2
Male,0,No,Yes,62,Yes,1,DSL,2,2,1,1,1,1,1,No,Bank transfer,56.15,348795.0,0,0,1,0,0,1,1,0,0,2
Male,0,Yes,Yes,13,Yes,1,DSL,2,1,1,1,1,1,0,Yes,Mailed check,49.95,58745.0,0,0,0,0,0,1,0,0,0,1
Male,0,No,No,16,Yes,1,No,0,0,0,0,0,0,2,No,Credit card,18.95,32680.0,0,0,0,0,0,0,0,0,0,0
Male,0,Yes,No,58,Yes,2,Fiber optic,1,1,2,1,2,2,1,No,Credit card,100.35,568110.0,0,0,0,1,0,0,0,1,0,1
Male,0,No,No,49,Yes,2,Fiber optic,1,2,2,1,2,2,0,Yes,Bank transfer,103.7,503630.0,1,0,0,1,0,0,1,1,0,2
Male,0,No,No,25,Yes,1,Fiber optic,2,1,2,2,2,2,0,Yes,Electronic check,105.5,268605.0,0,0,0,1,0,1,0,1,1,3
